,mes,infeccoes,populacao,max,media,min,ind_pluv
484,5,22,95032,23,18,15,62.2
485,6,1,95032,22,17,13,52.7
486,7,1,95032,22,17,13,39.9
487,8,0,95032,24,18,13,40.0
488,9,0,95032,25,19,15,100.8
489,10,0,95032,26,21,17,103.9
490,11,1,95032,26,22,18,126.6
491,12,1,95032,27,23,19,182.1
492,1,1,92689,28,23,20,214.2
493,2,5,92689,28,23,20,187.8
494,3,17,92689,27,23,19,137.1
495,4,36,92689,26,21,17,76.6
496,5,51,92689,23,18,15,61.4
497,6,17,92689,22,17,13,52.7
498,7,6,92689,22,17,12,39.5
499,8,2,92689,24,18,13,39.5
500,9,0,92689,25,19,15,100.1
501,10,3,92689,26,21,17,103.3
502,11,1,92689,26,21,18,126.1
503,12,0,92689,27,22,19,181.9
504,1,2,386984,28,23,20,215.4
505,2,3,386984,28,24,20,193.2
506,3,26,386984,27,23,20,143.2
507,4,51,386984,26,21,18,82.8
508,5,47,386984,23,19,15,64.7
509,6,16,386984,22,17,14,56.8
510,7,3,386984,22,17,13,43.7
511,8,2,386984,24,18,14,40.3
512,9,0,386984,24,19,15,93.6
513,10,0,386984,26,20,17,102.4
514,11,2,386984,26,22,18,124.9
515,12,0,386984,27,23,19,178.9
516,1,0,274413,27,23,20,214.8
517,2,2,274413,28,23,20,194.2
518,3,25,274413,27,22,19,144.1
519,4,124,274413,25,21,17,84.8
520,5,96,274413,23,18,15,65.9
521,6,6,274413,22,17,13,58.7
522,7,4,274413,22,17,13,45.5
523,8,0,274413,23,18,13,40.7
524,9,2,274413,24,18,15,91.4
525,10,0,274413,25,20,16,101.7
526,11,0,274413,26,21,17,123.1
527,12,0,274413,27,22,19,176.4
528,1,1,393237,27,23,20,217.6
529,2,5,393237,28,23,20,202.0
530,3,21,393237,27,22,20,154.6
531,4,58,393237,25,21,18,95.3
532,5,68,393237,23,19,16,70.1
533,6,7,393237,22,17,14,61.5
534,7,3,393237,22,17,13,49.3
535,8,2,393237,23,18,14,44.1
536,9,0,393237,23,18,15,95.4
537,10,8,393237,24,20,16,104.1
538,11,2,393237,25,21,18,124.6
539,12,0,393237,26,22,19,176.2
540,1,0,250691,27,23,20,216.6
541,2,3,250691,28,23,20,198.1
542,3,10,250691,27,22,19,148.8
543,4,17,250691,25,21,18,88.9
544,5,18,250691,23,18,15,67.9
545,6,5,250691,22,17,14,60.3
546,7,1,250691,22,17,13,47.3
547,8,1,250691,23,18,14,42.0
548,9,0,250691,24,18,15,93.1
549,10,0,250691,25,20,16,103.0
550,11,0,250691,26,21,17,124.1
551,12,1,250691,27,22,19,176.9
552,1,1,66970,27,23,20,219.4
553,2,0,66970,28,23,20,206.4
554,3,0,66970,27,22,20,158.8
555,4,3,66970,25,21,18,99.8
556,5,1,66970,23,18,16,73.6
557,6,0,66970,22,17,14,66.2
558,7,1,66970,21,17,13,53.5
559,8,0,66970,22,18,14,46.0
560,9,0,66970,23,18,15,94.3
561,10,0,66970,24,19,16,105.2
562,11,1,66970,25,21,18,123.9
563,12,0,66970,26,22,19,174.5
564,1,3,179198,27,22,19,218.8
565,2,1,179198,28,23,19,201.2
566,3,7,179198,27,22,18,154.1
567,4,46,179198,25,20,17,93.9
568,5,103,179198,23,18,14,68.4
569,6,33,179198,22,16,13,57.8
570,7,2,179198,22,16,12,46.6
571,8,1,179198,23,17,12,43.8
572,9,0,179198,24,18,14,99.3
573,10,2,179198,25,19,16,105.2
574,11,0,179198,26,21,17,127.5
575,12,0,179198,27,22,18,180.6
576,1,1,165139,27,23,19,214.8
577,2,1,165139,28,23,19,187.5
578,3,6,165139,27,22,19,137.6
579,4,25,165139,26,21,17,76.7
580,5,17,165139,23,18,14,60.8
581,6,0,165139,22,17,13,50.7
582,7,1,165139,22,16,12,38.1
583,8,1,165139,24,18,13,39.7
584,9,0,165139,25,19,15,104.6
585,10,0,165139,26,20,16,104.6
586,11,0,165139,26,21,18,127.4
587,12,0,165139,27,22,19,184.0
588,1,0,144849,28,23,20,214.9
589,2,0,144849,28,23,20,188.9
590,3,9,144849,27,23,19,139.0
591,4,29,144849,26,21,17,78.1
592,5,29,144849,23,18,15,61.5
593,6,12,144849,22,17,13,51.6
594,7,4,144849,22,17,12,39.0
595,8,1,144849,24,18,13,39.9
596,9,3,144849,25,19,15,102.8
597,10,1,144849,26,21,17,104.3
598,11,0,144849,27,21,18,127.0
599,12,2,144849,27,22,19,183.1
600,1,0,31236,29,23,20,216.6
601,2,0,31236,29,24,20,197.6
602,3,2,31236,28,23,19,153.1
603,4,4,31236,27,22,18,93.1
604,5,7,31236,24,19,15,65.7
605,6,1,31236,23,17,13,53.0
606,7,0,31236,23,17,13,43.9
607,8,0,31236,24,18,13,42.1
608,9,1,31236,25,19,15,97.7
609,10,0,31236,26,21,17,105.1
610,11,0,31236,27,22,18,129.2
611,12,0,31236,28,23,19,181.1
612,1,27,1291771,28,23,19,217.0
613,2,24,1291771,28,23,20,196.2
614,3,95,1291771,27,22,19,147.6
