cidade,ano,mes,infeccoes,populacao,infe_pop,max,media,min,ind_pluv,Aruja,Barueri,Biritiba_Mirim,Caieiras,Cajamar,Carapicuiba,Cotia,Diadema,Embu,Embu_Guacu,Ferraz_de_Vasconcelos,Francisco_Morato,Franco_da_Rocha,Guararema,Guarulhos,Itapecerica_da_Serra,Itapevi,Itaquaquecetuba,Jandira,Juquitiba,Mairipora,Maua,Mogi_das_Cruzes,Osasco,Pirapora_do_Bom_Jesus,Poa,Ribeirao_Pires,Rio_Grande_da_Serra,Santa_Isabel,Santana_do_Parnaiba,Santo_Andre,Sao_Bernardo_do_Campo,Sao_Caetano_do_Sul,Suzano,Taboao_da_Serra,Sao_Paulo,Vargem_Grande_Paulista
Diadema,2021,10,1,393237,0.00000254299569979427,24,20,16,104.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diadema,2021,11,0,393237,0.00000000000000000000,25,21,18,124.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diadema,2021,12,0,393237,0.00000000000000000000,26,22,19,176.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embu,2021,1,1,250691,0.00000398897447455234,27,23,20,216.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embu,2021,2,2,250691,0.00000797794894910467,28,23,20,198.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embu,2021,3,0,250691,0.00000000000000000000,27,22,19,148.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embu,2021,4,6,250691,0.00002393384684731400,25,21,18,88.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embu,2021,5,5,250691,0.00001994487237276170,23,18,15,67.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embu,2021,6,1,250691,0.00000398897447455234,22,17,14,60.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embu,2021,7,0,250691,0.00000000000000000000,22,17,13,47.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embu,2021,8,0,250691,0.00000000000000000000,23,18,14,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embu,2021,9,0,250691,0.00000000000000000000,24,18,15,93.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embu,2021,10,0,250691,0.00000000000000000000,25,20,16,103,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embu,2021,11,0,250691,0.00000000000000000000,26,21,17,124.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embu,2021,12,0,250691,0.00000000000000000000,27,22,19,176.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embu-Guaçu,2021,1,0,66970,0.00000000000000000000,27,23,20,219.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embu-Guaçu,2021,2,0,66970,0.00000000000000000000,28,23,20,206.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embu-Guaçu,2021,3,0,66970,0.00000000000000000000,27,22,20,158.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embu-Guaçu,2021,4,3,66970,0.00004479617739286250,25,21,18,99.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embu-Guaçu,2021,5,0,66970,0.00000000000000000000,23,18,16,73.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
